ds,yhat,yhat_lower,yhat_upper,model,type
2012-04-01,113.13405228651088,108.32277838398988,117.79757890640722,Prophet,forecast
2012-05-01,111.22025124843508,106.40172211081531,116.04032724636728,Prophet,forecast
2012-06-01,108.99169467259703,103.92823348425354,114.03435157375176,Prophet,forecast
2012-07-01,109.65898813656678,105.12119269528364,114.46385322448458,Prophet,forecast
2012-08-01,110.21816101523277,105.336177639792,114.74926158969116,Prophet,forecast
2012-09-01,108.33864031028727,103.58338850824332,113.11770950158378,Prophet,forecast
2012-10-01,110.8811614644752,105.9167741785289,115.68972882277728,Prophet,forecast
2012-11-01,112.60574263350412,107.62523330826502,117.27832679887908,Prophet,forecast
2012-12-01,111.85273986290316,106.99812600447412,116.77503014331896,Prophet,forecast
2013-01-01,112.56265063190548,107.5544490249008,117.14899341463725,Prophet,forecast
2013-02-01,112.45928722748872,107.48758322811652,117.1172185224702,Prophet,forecast
2013-03-01,113.15066441841748,108.28882717780712,117.71979962574916,Prophet,forecast
2013-04-01,113.76434925130144,108.97586305021078,118.74287265084124,Prophet,forecast
2013-05-01,110.87356167493478,105.723755902549,115.6813133714775,Prophet,forecast
2013-06-01,108.6082978972385,103.78837557156947,113.53061694772852,Prophet,forecast
2013-07-01,109.91638506537218,105.06059600534266,114.9183521567574,Prophet,forecast
2013-08-01,110.2737443432844,105.63524908287872,115.4670140284826,Prophet,forecast
2013-09-01,108.49722730470798,103.61683859963878,113.39799355973452,Prophet,forecast
2013-10-01,110.74795871962672,105.41636424947453,115.58028361172217,Prophet,forecast
2013-11-01,112.32709676492684,107.60577731122852,116.93784259342364,Prophet,forecast
2013-12-01,112.49685688220184,107.79754077738832,117.34458909744689,Prophet,forecast
2014-01-01,112.04686524117852,107.25358706982436,117.2253447534699,Prophet,forecast
2014-02-01,112.38391551925386,107.73687510469952,117.17294278513792,Prophet,forecast
2014-03-01,113.18591961579313,108.316854811128,117.52669294916733,Prophet,forecast
2014-04-01,114.38802862348052,109.04107614777152,119.17489476082788,Prophet,forecast
2014-05-01,110.5142343155075,105.82452863529844,115.1555927112585,Prophet,forecast
2014-06-01,108.2314898098441,103.46140160601794,112.8465037236909,Prophet,forecast
2014-07-01,110.18102714713382,105.24732909266456,114.85807920113544,Prophet,forecast
2014-08-01,110.32911268756244,105.47217492652284,114.81164990729025,Prophet,forecast
2014-09-01,108.65325305174954,103.50201507284687,113.2592371115495,Prophet,forecast
2014-10-01,110.61030670742991,105.78351293716102,115.26145580696974,Prophet,forecast
2014-11-01,112.055337831226,107.27772270916913,116.78965417090753,Prophet,forecast
2014-12-01,113.13687236539349,108.1693768077674,118.07619762650005,Prophet,forecast
2015-01-01,111.52314855205732,106.61973535023182,116.33046869785588,Prophet,forecast
2015-02-01,112.44449669106268,107.6927296715258,117.22750940678031,Prophet,forecast
2015-03-01,113.47515738459536,108.5724498919417,117.86539584764516,Prophet,forecast
2015-04-01,115.37959533594292,110.53731221287524,120.1471249040686,Prophet,forecast
2015-05-01,110.64287001812473,105.90782491436264,115.68227932097408,Prophet,forecast
