ds,yhat,yhat_lower,yhat_upper,model,type
2020-03-01,119.53906219999999,,,Historical,historical
2020-04-01,118.8537528,,,Historical,historical
2020-05-01,116.61930309999998,,,Historical,historical
2020-06-01,114.81730175,,,Historical,historical
2020-07-01,112.6028358,,,Historical,historical
2020-08-01,112.6380072,,,Historical,historical
2020-09-01,109.4763115,,,Historical,historical
2020-10-01,115.74028455,,,Historical,historical
2020-11-01,118.31978699999999,,,Historical,historical
2020-12-01,119.01815245,,,Historical,historical
2021-01-01,119.05172515,,,Historical,historical
2021-02-01,116.77730795000001,,,Historical,historical
2021-03-01,120.91021389999999,,,Historical,historical
2021-04-01,122.25551995000001,,,Historical,historical
2021-05-01,119.62672424999998,,,Historical,historical
2021-06-01,118.74317605,,,Historical,historical
2021-07-01,120.87530895,,,Historical,historical
2021-08-01,123.3764751,,,Historical,historical
2021-09-01,122.7822916,,,Historical,historical
2021-10-01,122.8947335,,,Historical,historical
2021-11-01,127.1216963,,,Historical,historical
2021-12-01,124.42069264999999,,,Historical,historical
2022-01-01,125.0124781,,,Historical,historical
2022-02-01,127.70388955,,,Historical,historical
2022-03-01,129.5399965,,,Historical,historical
2022-04-01,132.26578,,,Historical,historical
2022-05-01,129.49629869999998,,,Historical,historical
2022-06-01,128.00497805,,,Historical,historical
2022-07-01,131.98787264999999,,,Historical,historical
2022-08-01,128.9042468,,,Historical,historical
2022-09-01,131.1248411,,,Historical,historical
2022-10-01,133.99850435,,,Historical,historical
2022-11-01,135.5047462,,,Historical,historical
2022-12-01,133.40218925,,,Historical,historical
2023-01-01,136.06295895,,,Historical,historical
2023-02-01,135.4940882,,,Historical,historical
2023-03-01,136.60704985,,,Historical,historical
2023-04-01,137.6848401,,,Historical,historical
2023-05-01,125.02873154999999,,,Historical,historical
2023-06-01,128.57571395,,,Historical,historical
2023-07-01,135.91188179999997,,,Historical,historical
2023-08-01,136.3536559,,,Historical,historical
2023-09-01,133.3667514,,,Historical,historical
2023-10-01,136.56335205,,,Historical,historical
2023-11-01,139.95046445,,,Historical,historical
2023-12-01,141.78204175,,,Historical,historical
2024-01-01,136.50260145000001,,,Historical,historical
2024-02-01,140.7266333,,,Historical,historical
2024-03-01,139.56784225,,,Historical,historical
2024-04-01,139.6880112,,,Historical,historical
2024-05-01,135.50021655,,,Historical,historical
2024-06-01,136.6909816,,,Historical,historical
2024-07-01,133.28175385,,,Historical,historical
2024-08-01,137.49752575,,,Historical,historical
2024-09-01,131.7254194,,,Historical,historical
2024-10-01,139.6331225,,,Historical,historical
2024-11-01,143.9911787,,,Historical,historical
2024-12-01,146.5959939,,,Historical,historical
2025-01-01,145.86139125,,,Historical,historical
2025-02-01,143.48465725,,,Historical,historical
2025-03-01,146.2666617,,,Historical,historical
2025-04-01,144.00849795,,,Historical,historical
2025-05-01,143.477996,,,Historical,historical
2025-06-01,139.34775455,,,Historical,historical
2025-07-01,142.83558505,,,Historical,historical
2025-08-01,138.85535495,,,Historical,historical
2025-09-01,136.51858844999998,,,Historical,historical
2025-10-01,144.0876336,,,Historical,historical
2025-11-01,,,,Historical,historical
2025-12-01,,,,Historical,historical
